headline,content,category,author,date
"임영웅·TV조선, 장애인복지시설에 3000만원 상당 공기청정기 기부","앞으로도 미스터트롯, 미스트롯에 보내주시는 국민들의 사랑과 성원에 보답하기 위해 멤버들과 함께 노력하겠다”고 전했다.황성주 굿네이버스 나눔마케팅본부장은 “지난 2월 <미스터트롯 TOP6 온라인 팬미팅> 수익금 전액을 기부한 것에 이어 꾸준한 나눔을 실천해주고 있는 티조컬처앤컨텐츠와 가수 임영웅 씨에게 감사드린다”며 “위드 코로나 시기를 맞아 굿네이버스는 복지 사각지대 개선과 소외된 이웃에 대한 빈틈없는 지원을 위해 더욱 노력하겠다”고",문화·라이프 > 문화 일반 |,최보윤 기자 |,2021.06.23
"임영웅, TV조선과 3천만원 상당 공기청정기 기부..선한 영향력의 좋은 예 [공식]","앞으로도 미스터트롯, 미스트롯에 보내주시는 국민들의 사랑과 성원에 보답하기 위해 멤버들과 함께 노력하겠다""고 말했다.황성주 굿네이버스 나눔마케팅본부장은 ""지난 2월 '미스터트롯 TOP6 온라인 팬미팅' 수익금 전액을 기부한 것에 이어 꾸준한 나눔을 실천해주고 있는 티조컬처앤컨텐츠와 가수 임영웅 씨에게 감사드린다""며 ""위드 코로나 시기를 맞아 굿네이버스는 복지 사각지대 개선과 소외된 이웃에 대한 빈틈없는 지원을 위해 더욱 노력하겠다""고 밝혔다.한편",연예 > 연예 포토 |,스포츠조선 = 김수현 기자 |,2021.06.22
"임영웅, TV조선과 3천만원 상당 공기청정기 기부…선한 영향력ing","앞으로도 미스터트롯, 미스트롯에 보내주시는 국민들의 사랑과 성원에 보답하기 위해 멤버들과 함께 노력하겠다""고 말했다.황성주 굿네이버스 나눔마케팅본부장은 ""지난 2월 '미스터트롯 TOP6 온라인 팬미팅' 수익금 전액을 기부한 것에 이어 꾸준한 나눔을 실천해주고 있는 티조컬처앤컨텐츠와 가수 임영웅 씨에게 감사드린다""며 ""위드 코로나 시기를 맞아 굿네이버스는 복지 사각지대 개선과 소외된 이웃에 대한 빈틈없는 지원을 위해 더욱 노력하겠다""고 밝혔다.'",연예 > 연예 포토 |,스포츠조선 = 백지은 기자 |,2021.06.22
"[Mint] 반갑다 비행기, 기다렸다 해외여행, 다시보자 관광산업
C01면","준비 중이다. 국내에서는 백신 관광에 대한 수요는 크지 않지만, 코로나 백신 접종자에게 자가 격리를 면제하는 괌과 대만, 두바이, 스위스, 하와이 등의 여행 상품이 앞다퉈 출시되고 있다.하지만 ‘포스트 코로나(post- corona·신종 코로나 대유행 이후)’ 시대의 여행은 이전과 확연히 달라진 모습을 보이고 있다. 벌써 3가지 트렌드 변화가 나타난다.먼저 1인 혹은 소규모 그룹이 일정을 자유롭게 조정할 수 있는 상품을 찾는 수요가 늘었다. 여행",경제 > Mint |,김지섭 기자 |,2021.06.18
"100년 전 콜레라와 2021년 코로나, 인간의 어리석음은 왜 되풀이 되나","코로나 이전, 이른바 ‘BCBefore Corona’ 시절에 이 영화를 봤다면, 대부분의 관객들은 이 부부의 사랑과 갈등에 포커스를 맞춰 영화를 감상했을 것이다. 이는 영화의 애초 기획 의도와도 일치한다.",월간산 > 포커스뉴스 |,글 신용관 조선뉴스프레스 기획취재위원 |,2021.06.09
"1300명 장례 치른 ‘코로나 전사’, 정작 그의 마지막 돕는 이 없었다",인도에서 코로나로 숨진 1300명이 넘는 시민의 장례를 치러줘 ‘코로나 전사'(Corona Warrior)로 칭송받던 60대 퇴직 공무원이 정작 본인이 코로나에 걸리자 제대로 병상조차 구하지 못해 한 달 만에 세상을 떠났다. .지난 4일 인도 언론 더타임스오브인디아는 인도 마하라슈트라주 나그푸르시에 사는 퇴직 공무원 찬단 님제(67)가 지난달 초 코로나 확진 판정을 받은 뒤 같은 달 26일 숨졌다고 보도했다.현지 매체에 따르면 인도 중앙정부 퇴직,국제 > 아시아 |,장근욱 기자 |,2021.06.07
"조선호텔 최상급 브랜드 ‘조선 팰리스’, 서울 강남에 개관",‘위드 코로나’를 위한 다각적인 서비스도 마련했다. 전 객실에는 자동 UVC 살균장치가 도입했으며 공기청정·가습기능 역시 객실 내부 필터로 장착돼 객실 컨디션을 쾌적한 상태로 유지한다.,문화·라이프 > 여행 |,디지틀조선일보 유영훈 |,2021.06.04
"대한핸드볼협회, 'SNS 통한 활성화' 위해 대학생 크리에이터 모집","[OSEN=강필주 기자] 대한핸드볼협회가 최신 SNS트렌드 반영을 통한 핸드볼 활성화를 위해 대학생 크리에이터를 모집한다고 27일 밝혔다.대한핸드볼협회 대학생 크리에이터는 올해 6월부터 내년 4월까지 10개월동안 위드 코로나 시기에 맞춰 핸드볼 활성화를 위한 온라인 콘텐츠 제작 활동을 한다.스포츠마케팅과 콘텐츠 제작에 관심이 있는 대학생(휴학생 포함)이면 누구나 지원이 가능하며, 대한핸드볼협회는 서류 심사와 면접을 거쳐 총8명을 선발할 계획이다.",스포츠 > 스포츠 포토 |,OSEN |,2021.05.27
"철원 다슬기, 평창 더위사냥… 전국 여름 축제, 올해도 줄줄이 취소
A12면","코로나와 공존해야 하는 ‘위드 코로나’ 시대를 돌파하기 위한 조치다. 부산시는 지난달 열린 ‘낙동강 유채꽃 축제’를 비대면과 온라인, ‘찾아가는 축제’ 방식으로 바꿔 진행했다. 이전까지는 시민들이 대저생태공원 유채꽃밭에 직접 가야 했지만, 올해는 서면역 등에 미니 유채 정원을 꾸미고, 500여 가정에 유채꽃을 배달했다. 노란색으로 칠한 시내버스가 곳곳을 누비며 시민들의 눈길을 끌었다.",사회 > 사회 일반 |,정성원 기자 |,2021.05.22
"“위드 코로나 시대, 개별 여행객 위한 모바일 플랫폼 마케팅으로 위기 극복”","경제·사회·문화 등 모든 분야가 코로나의 충격과 영향을 피할 수 없고, 전 세계는 아직도 바이러스와 힘든 싸움을 벌이고 있다. 그 중에서도 문화관광에 끼친 피해는 유독 더 심했다. 지난해 초 대구경북은 코로나로 가장 먼저 큰 피해를 입었다. 모임과 장소이동이 제한되다 보니 관광산업이 직격탄을 맞게 된 것도 어찌보면 당연한 결과다. 그러나 경북도는 신속하고 ...",스페셜 > 특집섹션 |,권광순 기자 |,2021.04.28
