heading,date,content
They've written hundreds of cards for Covid victims. Here's what America's florists have learned about grief,"May 8, 2021","In a flower shop scented by buckets of roses, lilies and sweet peas, George Spetsieris has helped his funeral customers write final messages to their loved ones for more than 30 years. ""The majority of people, believe it or not, are at a loss for words,"" he explained. There was one phrase, though, that he most frequently recommended for the tiny floral enclosure cards -- ""Our thoughts and prayers are with you during these difficult times."" Since March 2020, when the malevolent coronavirus first tore through New York City, he has added two new words. ""Now it has become 'Our"
Why do we still care about Ernest Hemingway?,"Apr 13, 2021","The widespread yet varying attention drawn by Ken Burns and Lynn Novick's ""Hemingway"" documentary series -- which ran its course on PBS last week -- proves, if nothing else, that its subject still lingers in the world's collective consciousness almost a century after his first books were first published. While Ernest Hemingway may no longer dominate the literary scene as he had by the middle of the 20th century, the mystique of his public and private lives resonates into the 21st. The most mysterious question to me is: Why do we still care about him? If one had to name"
How to use peel-and-stick wallpaper to completely transform your space,"Apr 1, 2021","While peel-and-stick wallpaper tiptoed into the marketplace more than a decade ago, today the concept is omnipresent, available everywhere from bespoke artisans to mega-retailers. Why? Well, for one, there's the obvious fact that the wallpaper is temporary, infusing us all with the peace of mind that this decor decision doesn't come with live-with-it-forever repercussions. And in the time of Covid, when Americans have been home more than ever, finding a quick, easy and affordable way to completely reinvigorate a space has resonated with pretty much everyone. ""The number of requests I've received lately for wallpapered rooms has skyrocketed,"" interior designer"
Older adults begin to catch up on all that they missed during the pandemic after Covid-19 vaccinations,"Mar 31, 2021","With a mix of relief and caution, older adults fully vaccinated against Covid-19 are moving out into the world and resuming activities put on hold during the pandemic. Many are making plans to see adult children and hug grandchildren they haven't visited for months — or longer. Others are getting together with friends indoors, for the first time in a long time. People are scheduling medical appointments that had been delayed and putting trips to destinations near and far on calendars. Simple things that felt unsafe pre-vaccination now feel possible: petting a neighbor's dog, going for a walk in the"
"White guilt, apologies and why Hollywood is a cauldron of race issues at the moment","Mar 19, 2021","If it seems like there are more apologies from celebs these days when it comes to matters of race, it's because there are. Despite complaints about ""cancel culture"" and racist insistence that people who talk about these important issues are ""playing the race card,"" Hollywood can't seem to get away from conversations about race and diversity. And while hopefully those discussions can lead to progress, lately they have led to controversy for some. Take for example: Sharon Osbourne: ""The Talk"" co-host got into it with her colleague Sheryl Underwood after Underwood, a Black woman, probed Osbourne's support of her friend"
From 'hoax' to hope: Why March 2021 may be a turning point for the US,"Mar 1, 2021","A version of this article first appeared in the ""Reliable Sources"" newsletter. You can sign up for free right here. March 2020 never really ended. In those unforgettable days — March 11, 12, 13 — the great shutdown reached the US and society changed forever. The notion of a never-ending March became a bleak running joke, complete with a website called IsMarchOverYet.com, which says ""No. It is Sunday March 365th, 2020."" But the actual March of 2021 is here. ""It has felt like March since last March but tomorrow is really March again,"" the WSJ's Katie Honan tweeted. And it"
How the Nordic 'friluftsliv' lifestyle can fight wintertime and pandemic blues,"Feb 5, 2021","It was negative 13 degrees Celsius (8.6 degrees Fahrenheit) when Lorelou Desjardins took a break from her workday to take a walk on the frozen lake near her home in Oslo, Norway. She was accompanied by her husband, who had recently been on four months of paternity leave, and their infant son. Not only was she encouraged by her employer to take this walk — she is paid one hour per week to exercise or spend time outdoors. It's one of the several times she goes outdoors during the workday. Other times are to put her 1-year-old out for a"
"Why all American music is rooted in African American expression, a new museum shows","Jan 28, 2021","As more people are starting to learn about the history of African Americans, there is one component that's particularly integral to understanding the national culture: music. African American artists created and influenced genres from the blues, jazz and hip-hop to rock and roll. Bluesmen Muddy Waters and B.B. King electrified that genre and galvanized rock guitarists, and trumpeter and composer Louis Armstrong changed the jazz landscape — all building on traditions brought to American soil by enslaved people. Educating the world on the central role African Americans have played in ""creating the American soundtrack"" and preserving that legacy are the"
See what's streaming in December,"Nov 30, 2020","Now here's a gift! ""Wonder Woman 1984,"" starring Gal Gadot, arrives on HBO Max (and in theaters) on Christmas Day. The superhero finds herself facing two all-new foes: Max Lord and The Cheetah in this next chapter. It's just one of the pieces of content streaming in December. ""Soul"": Joe Gardner (voiced by Jamie Foxx) is a middle-school band teacher who gets the chance of a lifetime to play at the best jazz club in town. But one small misstep takes him from the streets of New York City to The Great Before in this eagerly awaited Pixar film. (Disney+)"
"5 things to know for November 20: Covid, election lawsuits, Apple, Australia, immigration","Nov 20, 2020","Winter means holiday cheer for some and for others -- check out this list of fun stuff to do to help offset the blues. Here's what you need to know to Get Up to Speed and On with Your Day. (You can also get ""5 Things You Need to Know Today"" delivered to your inbox daily. Sign up here.) 1. Coronavirus The coronavirus pandemic across the nation is turning from bad to worse so fast that an influential academic modeling group raised the deaths forecast to 471,000 by March. ""Hospital systems in most states will be under severe stress during"
